ID,Project,Category,Task,Assignee,Start Date,End Date,Dependencies,Status,Color,Memo
SCH-2026-001,Mobile App Launch,Design,UI/UX Wireframes,Designer,2026-04-01,2026-04-14,,Completed,🟣 Purple,
SCH-2026-002,Mobile App Launch,Design,Visual Design System,Designer,2026-04-15,2026-04-28,SCH-2026-001,Completed,🟣 Purple,
SCH-2026-003,Mobile App Launch,Design,Icon Pack Creation,Designer,2026-04-20,2026-05-05,SCH-2026-001,In Progress,🟣 Purple,
SCH-2026-004,Mobile App Launch,Development,Core Feature Implementation,Developer,2026-04-15,2026-05-15,SCH-2026-001,In Progress,🔵 Blue,
SCH-2026-005,Mobile App Launch,Development,API Integration,Developer,2026-05-10,2026-05-30,SCH-2026-004,Planned,🔵 Blue,
SCH-2026-006,Mobile App Launch,Development,Beta Testing,QA Lead,2026-06-01,2026-06-14,SCH-2026-005,Planned,🔵 Blue,
SCH-2026-007,Mobile App Launch,Marketing,Landing Page Copy,Marketing Lead,2026-05-01,2026-05-15,,In Progress,🟠 Orange,
SCH-2026-008,Mobile App Launch,Marketing,Social Media Campaign,Marketing Lead,2026-05-20,2026-06-10,SCH-2026-007,Planned,🟠 Orange,
SCH-2026-009,Mobile App Launch,Marketing,Press Kit Preparation,Marketing Lead,2026-06-01,2026-06-15,SCH-2026-007,Planned,🟠 Orange,
SCH-2026-010,Q2 Campaign,Strategy,Market Research,PM,2026-04-01,2026-04-20,,Completed,🟢 Green,
SCH-2026-011,Q2 Campaign,Strategy,Campaign Planning,PM,2026-04-15,2026-05-05,SCH-2026-010,In Progress,🟢 Green,
SCH-2026-012,Q2 Campaign,Content,Blog Series Draft,Content Writer,2026-05-05,2026-05-25,SCH-2026-011,Planned,🟡 Yellow,
SCH-2026-013,Q2 Campaign,Content,Video Production,Content Writer,2026-05-15,2026-06-10,SCH-2026-011,Planned,🟡 Yellow,
SCH-2026-014,Q2 Campaign,Analytics,KPI Dashboard Setup,Data Analyst,2026-05-01,2026-05-20,,Planned,🔴 Red,
SCH-2026-015,Website Redesign,Design,Homepage Mockup,Designer,2026-04-20,2026-05-10,,In Progress,🩷 Pink,
SCH-2026-016,Website Redesign,Design,Component Library,Designer,2026-05-10,2026-05-30,SCH-2026-015,Planned,🩷 Pink,
SCH-2026-017,Website Redesign,Development,Frontend Migration,Developer,2026-05-25,2026-06-20,SCH-2026-016,Planned,🩵 Sky,
SCH-2026-018,Website Redesign,Development,Performance Optimization,Developer,2026-06-15,2026-06-30,SCH-2026-017,Planned,🩵 Sky,
